,base_market,quote_market,hedge_ratio,half_life
51,XTZ-USD,ENJ-USD,2.5172845846100538,2.0
52,XTZ-USD,SNX-USD,0.3234087631284831,2.0
53,XTZ-USD,XLM-USD,9.836805958213466,7.0
54,XTZ-USD,ATOM-USD,0.10727968127239365,3.0
55,LINK-USD,BCH-USD,0.046519941543513375,3.0
56,LINK-USD,YFI-USD,0.0020394162932794425,3.0
57,LINK-USD,MKR-USD,0.005969195849390272,6.0
58,LINK-USD,FIL-USD,2.066599689403465,8.0
59,LINK-USD,1INCH-USD,32.88395421233213,8.0
60,LINK-USD,ENJ-USD,36.05300912470196,6.0
61,LINK-USD,SNX-USD,4.633277250881911,5.0
62,LINK-USD,XLM-USD,141.0154811747829,2.0
63,BCH-USD,RUNE-USD,46.897039032773606,4.0
64,BCH-USD,DOGE-USD,2731.3128060974304,9.0
65,BCH-USD,XLM-USD,3030.7360777259396,3.0
66,XMR-USD,RUNE-USD,16.813957993613606,13.0
67,XMR-USD,DOGE-USD,979.3242679593843,16.0
68,XMR-USD,MKR-USD,0.0460168699347165,8.0
69,XMR-USD,COMP-USD,1.8742192145922942,13.0
70,XMR-USD,MATIC-USD,136.40319630749815,15.0
71,XMR-USD,CRV-USD,209.41850627634693,13.0
72,XMR-USD,NEAR-USD,19.554739314623063,14.0
73,XMR-USD,BTC-USD,0.0021118448316727783,1.0
74,XMR-USD,CELO-USD,120.15585576127305,11.0
75,XMR-USD,1INCH-USD,253.4668049367409,13.0
76,XMR-USD,SUSHI-USD,82.65467137848822,8.0
77,XMR-USD,SNX-USD,35.716323245972404,10.0
78,XMR-USD,ETH-USD,0.04019728627978483,1.0
79,XMR-USD,XLM-USD,1087.334250542951,4.0
80,XMR-USD,LTC-USD,1.668007746720502,3.0
81,YFI-USD,DOT-USD,924.4704459680445,3.0
82,RUNE-USD,XLM-USD,64.54378754382337,12.0
83,DOGE-USD,SNX-USD,0.03645309651671673,3.0
84,DOGE-USD,XLM-USD,1.108648655836419,16.0
85,DOGE-USD,LTC-USD,0.001700811276860269,18.0
86,MKR-USD,COMP-USD,40.690281293047896,6.0
87,MKR-USD,ICP-USD,251.56896619490942,6.0
88,MKR-USD,FIL-USD,345.78867730346076,5.0
89,MKR-USD,MATIC-USD,2960.7051293898066,6.0
90,MKR-USD,NEAR-USD,425.108879483214,5.0
91,MKR-USD,DOT-USD,315.47760173758724,5.0
92,MKR-USD,CELO-USD,2609.1065957295873,6.0
93,MKR-USD,1INCH-USD,5501.750722958659,6.0
94,MKR-USD,ADA-USD,4675.885891216531,5.0
95,MKR-USD,ENJ-USD,6032.767995166436,6.0
96,MKR-USD,SNX-USD,775.2599315095482,6.0
97,MKR-USD,ATOM-USD,257.2145251048753,5.0
98,COMP-USD,FIL-USD,8.49413002843492,5.0
99,COMP-USD,MATIC-USD,72.74147537008943,3.0
100,COMP-USD,1INCH-USD,135.18686833119907,2.0
101,COMP-USD,ADA-USD,114.87768964620236,5.0
102,COMP-USD,ENJ-USD,148.24526581665336,2.0
103,COMP-USD,SNX-USD,19.045784171858482,2.0
104,COMP-USD,XLM-USD,579.2190111639193,10.0
105,COMP-USD,ATOM-USD,6.31743143658875,6.0
106,COMP-USD,LTC-USD,0.8885774059302003,14.0
107,ICP-USD,FIL-USD,1.3742385571909432,2.0
108,ICP-USD,DOT-USD,1.2538245960680743,2.0
109,ICP-USD,ENJ-USD,23.980466760766035,2.0
110,ICP-USD,XLM-USD,93.73612689530114,6.0
111,FIL-USD,CELO-USD,7.5434992788063635,4.0
112,FIL-USD,ENJ-USD,17.447634533357835,3.0
113,FIL-USD,XLM-USD,68.20316533182674,7.0
114,MATIC-USD,1INCH-USD,1.8582638985599842,2.0
115,MATIC-USD,ENJ-USD,2.0376773297584547,3.0
116,MATIC-USD,SNX-USD,0.2618026811379027,2.0
117,MATIC-USD,XLM-USD,7.9640390744903495,10.0
118,MATIC-USD,ATOM-USD,0.08685268543494379,4.0
119,CRV-USD,ZRX-USD,0.5293199174579251,3.0
120,CRV-USD,SNX-USD,0.1704705422532549,3.0
121,CRV-USD,XLM-USD,5.1850048288024855,9.0
122,CRV-USD,ATOM-USD,0.056548880635829885,5.0
123,DOT-USD,CELO-USD,8.268134439951762,3.0
124,DOT-USD,ENJ-USD,19.120722130674537,4.0
125,DOT-USD,XLM-USD,74.75653898403729,5.0
126,BTC-USD,CELO-USD,56866.317050909165,2.0
127,BTC-USD,1INCH-USD,119948.16100318905,2.0
128,BTC-USD,ADA-USD,101956.42581486872,1.0
129,BTC-USD,ENJ-USD,131495.94450496213,2.0
130,BTC-USD,ZRX-USD,52439.39592034198,2.0
131,BTC-USD,SUSHI-USD,39109.58106261477,1.0
132,BTC-USD,SNX-USD,16901.25366352586,1.0
133,BTC-USD,ETH-USD,19.022724684833165,1.0
134,BTC-USD,XLM-USD,514488.5611343714,1.0
135,BTC-USD,ATOM-USD,5607.814218083946,1.0
136,BTC-USD,LTC-USD,789.221209199218,1.0
137,CELO-USD,1INCH-USD,2.108209163758216,4.0
138,1INCH-USD,ENJ-USD,1.0965224818107815,2.0
139,1INCH-USD,ATOM-USD,0.04673123058112169,4.0
140,1INCH-USD,LTC-USD,0.0065737088633018225,10.0
141,ADA-USD,ENJ-USD,1.2901092709021316,3.0
142,ADA-USD,XLM-USD,5.043235393529622,6.0
143,ENJ-USD,XLM-USD,3.9055133080435827,10.0
144,ENJ-USD,ATOM-USD,0.04259612787632557,5.0
145,ENJ-USD,LTC-USD,0.005991088876021896,9.0
146,SNX-USD,XLM-USD,30.41815666843244,8.0
147,SNX-USD,ATOM-USD,0.3317019324306978,3.0
148,SNX-USD,LTC-USD,0.04666285080961856,7.0
149,ETH-USD,XLM-USD,27019.37814672324,1.0
150,XLM-USD,ATOM-USD,0.01089937533227867,6.0
151,XLM-USD,LTC-USD,0.001533828117008433,2.0
